	A1-2	A1-3	A10-1	A10-2	A12-1	A13-6	A14	A15-1	A15-8	A17-8	A2-2	A21-9	A30-10	A34-4	A36	A37-7	A4-5	A40-2	A43-3	A44-5	A46-6	A6-1	A7-1	A8	A9-1	FL-1	FL-10	FL-12	FL-13	FL-14	FL-15	FL-17	FL-18	FL-20	FL-21	FL-22	FL-23	FL-24	FL-25	FL-27	FL-3	FL-5	FL-6	FL-7	FL-8	FL-9	H115-2	H124-2	H128	H130-2	H134-2	H146-2	H164-2	H174-4	H176-4	H183-4	H184-4	H194-2	H200-4	H218-2	H220-4	H224-4	H225-4	H226-4	H227-4	H45-1	H49	H50-1	L12-3	L15-1	L23-2	L23-3
A1-2	0.0	0.5225427806031735	0.9321597799579132	0.8394868693720482	0.8471673519154421	0.7827729506444561	0.8704478704010044	0.8467280387958158	0.8425300988564909	0.7279703214719838	0.7497503048235937	0.6226741915337288	0.9046544549943402	0.8914167706142031	0.6542448927131702	0.9011043901520246	0.6842429521857659	0.8227575402734228	0.8935500654018089	0.9198457115480555	0.9396582573177537	0.8910156307258176	0.913781034847365	0.8897886177984438	0.7579789835206519	0.681729218599254	0.8699457977920821	0.8792389700948218	0.9288715897934547	0.7536297853743418	0.9045946204089081	0.8989001486215552	0.6190930519891438	0.7629562293890522	0.8450090065882019	0.9232446372116955	0.9376057947909651	0.8936888978572987	0.948157756051958	0.8136883975442089	0.8634573998271868	0.840714961073722	0.9202241968132217	0.8455069608003568	0.8931466083276585	0.8675565972512154	0.866225005016009	0.894574964429725	0.7824289260197244	0.657711782089624	0.8477115348019595	0.8477115348019595	0.8458381817307358	0.8284872092762741	0.8562970951225543	0.8514078173483093	0.7991305915249242	0.6313511879191259	0.9123899973038269	0.8935500654018089	0.7593813902818225	0.894449857986063	0.8864939599636354	0.8945226001559197	0.8622841770212992	0.8457612358513376	0.8914612921236928	0.8755958221152218	0.8699091386713418	0.7589938861944044	0.8455069608003568	0.8702280214917847
A1-3	0.5225427806031735	0.0	0.9173208145100866	0.7210167241162491	0.7434271766284933	0.8772320162353048	0.8028906036551194	0.7421866348308604	0.7300831224042706	0.8971652151187072	0.6261626274269184	0.2978309454292719	0.8724911250860251	0.8476527011705289	0.8424123351326577	0.8660612035555424	0.8366408608337742	0.8719990116774355	0.837781579403497	0.8982743585141043	0.9250527420288936	0.8468618641434227	0.8883031084078801	0.8444281313246307	0.8765785756083495	0.5484952325625632	0.8017260201491998	0.8515639832091189	0.9123844893150507	0.9016153571870562	0.872384090471148	0.8619858851376656	0.6940699663965593	0.8606482450684277	0.7771214618260135	0.9096099660594704	0.9252702623184789	0.8777548590335985	0.9399172522647357	0.7585288333352067	0.8133800043009299	0.760793454848578	0.8988832007599391	0.7387129121036603	0.8510362286872133	0.7961188905107711	0.7929462113917509	0.8401497093243722	0.5997812100994733	0.8096620486039136	0.7449571558341833	0.7449571558341833	0.7396589154884069	0.9024075314954689	0.768154967821084	0.7551572139297583	0.6951741170809532	0.84824458060854	0.8859573088702544	0.837781579403497	0.9041138730158219	0.8535569789684427	0.8377815836858097	0.8536969667155583	0.9146137348611025	0.7394393993455177	0.8477403290142336	0.8554087117264018	0.8016408026211569	0.9039458695577895	0.7387129121036603	0.8023812325009025
A10-1	0.9321597799579132	0.9173208145100866	0.0	0.8097182666321114	0.8466520157346056	0.9335291692930561	0.9053709267005494	0.8148564906218297	0.793989468340343	0.9488176070586459	0.9305491955446807	0.9184994487111583	0.8865532023818604	0.9151780643424527	0.9457761724007353	0.6244346018354933	0.9082679240549084	0.9432658638570274	0.9374145744235682	0.758479372709005	0.6041326922780709	0.8478897316499383	0.49806226629197037	0.9143680529607463	0.9233737978058386	0.9176797907700174	0.8327308102689296	0.6078617589620804	0.9107648750827789	0.9321593505981491	0.9220703169453734	0.9190162977412615	0.8544362063432719	0.934499356742641	0.9141165714122188	0.8873394726692967	0.9049847703710044	0.80676838817077	0.8977514311075243	0.9318923430255254	0.9206701133437272	0.9086351806024031	0.5344664486646753	0.8952459150488951	0.8530640354184342	0.8270950401343106	0.9035480191755012	0.937770257449498	0.9126772718833338	0.829053519968286	0.8960820024018781	0.8960820024018781	0.8902447818790097	0.9324691712581826	0.8994423419907073	0.897508017148453	0.9095576850801358	0.845915087436688	0.8408111550470615	0.9374145744235682	0.8903694588141629	0.9167105716955091	0.8841292768354946	0.9167477077070193	0.9176539534717039	0.8458321457010111	0.9152003366876107	0.8151675359803446	0.8228085413541837	0.554020456611583	0.8952459150488951	0.8329623274024177
A10-2	0.8394868693720482	0.7210167241162491	0.8097182666321114	0.0	0.3643792091138806	0.8760590548642684	0.7215836101070408	0.15539833713787798	0.08908882268617391	0.8906968234830911	0.8301683217310792	0.7339970878941869	0.7413918107296326	0.7922539375421745	0.8225799564249099	0.6623473349235586	0.7630568533174915	0.8618205976564509	0.8210789397659055	0.8665058189680958	0.9216745679350875	0.5996449850203183	0.8523254605698805	0.7873268231759116	0.8353782639290299	0.8066456329327936	0.43219300288108614	0.8945208069428404	0.8862165294635245	0.871210210748246	0.8292421662933036	0.813861001081988	0.6012190829730819	0.8987473705368091	0.7857688633890583	0.8532319802316551	0.9038626247809065	0.9023673647223138	0.9235221934768165	0.8702445049622195	0.8223723906474979	0.7480662620645875	0.8673648584615508	0.6109453329737243	0.6085678814439406	0.40913293521693805	0.7051903474900949	0.8239555154974775	0.6600112737353406	0.46391207424292424	0.6222335141805179	0.6222335141805179	0.5885270833442214	0.8723222368895844	0.6631532680762058	0.6404205388177239	0.754958245680261	0.6043155737119061	0.7729978789840048	0.8210789397659055	0.7870939738010869	0.8012122642101488	0.6913169462440834	0.8014236745543956	0.8519206247436923	0.3500523973747066	0.7923874894088996	0.928106224456108	0.43184660826728033	0.8744779740357193	0.6109453329737243	0.41780015769700146
A12-1	0.8471673519154421	0.7434271766284933	0.8466520157346056	0.3643792091138806	0.0	0.8798796784699204	0.7401497214070895	0.42673160441052327	0.3914548712502571	0.895079874140183	0.83874264843471	0.7544470866278598	0.633119557551085	0.8027689789924487	0.8362652719168344	0.7389025841741311	0.7760959432642761	0.8687519969536982	0.8325309301566639	0.8709276143085067	0.9239511349549322	0.6956590567820932	0.8577175839530705	0.7983333372900376	0.8420510453404065	0.8157863197555104	0.5870412052977364	0.8973007570769514	0.8894447378387962	0.8753306552995435	0.8364108290996299	0.8223471848608453	0.6836031906291772	0.9007404909849511	0.796932994338755	0.8802275187526419	0.9061773680892254	0.8814704832860516	0.9249942781246434	0.874425970802685	0.8301163833300526	0.763365419234099	0.871730858723631	0.6462631534224236	0.7052039275349828	0.5728152322483191	0.7259257689985883	0.8350536512624248	0.6927197945296917	0.6068882768342334	0.6556195517747991	0.6556195517747991	0.626317776725371	0.8763729522659942	0.6899548396014321	0.6707985656318527	0.7694558789620405	0.5429845214921499	0.7005896705464945	0.8325309301566639	0.8199038210035842	0.8108610681997152	0.7091233709760633	0.8110524635320092	0.8561451148736633	0.15407948185502773	0.8028893574953684	0.9294086289128028	0.5868262679393583	0.8783951562969587	0.6462631534224236	0.5886924944891789
A13-6	0.7827729506444561	0.8772320162353048	0.9335291692930561	0.8760590548642684	0.8798796784699204	0.0	0.7484223805757557	0.879657464106441	0.8775567294825318	0.7695781783594472	0.7515225893300534	0.8792872256811606	0.825189719067392	0.7548156970198409	0.7386550570895926	0.9111114922934815	0.6649468057548066	0.7362845319929346	0.7696132584270722	0.7908828698942824	0.8547300080103166	0.7702905811696601	0.8499518296220219	0.8177441893560944	0.5796377445458044	0.8008152019139502	0.8617164664807357	0.85359579447062	0.7850893624581271	0.7291863562412598	0.6885793923073112	0.6136034203867944	0.8276689883178561	0.8053678781457797	0.7638865119045963	0.825005913656183	0.9224834454599264	0.8302559498468574	0.8272454847875669	0.7208150139478738	0.796673390391409	0.8057165122243098	0.848904884006429	0.7660112842524338	0.7511986785762552	0.7468697535841475	0.884728411050256	0.7713179595917814	0.7960933349449535	0.7222149518968082	0.84840055349094	0.84840055349094	0.8792087429605705	0.6422563276309496	0.8790696009185354	0.7398489877959038	0.8452668124571655	0.7653087340055177	0.799555682455584	0.7696132584270722	0.7536156317907962	0.7604372986969336	0.7518012444472798	0.7605728318387001	0.7563420547182599	0.8791700291125906	0.7291555105501248	0.9299122197889802	0.8402852205346643	0.8693173445932684	0.7660112842524338	0.75078935624222
A14	0.8704478704010044	0.8028906036551194	0.9053709267005494	0.7215836101070408	0.7401497214070895	0.7484223805757557	0.0	0.7391075933021933	0.7290289651496625	0.90881237849421	0.8644447093847065	0.8094598585644338	0.5385731773065894	0.8259483716874672	0.8730426084561774	0.8523643583395849	0.6423957195370351	0.8895577324767252	0.8649851516434426	0.8549642745167699	0.9314353779257282	0.5860157929936337	0.7571074350699818	0.6597845193527601	0.7951665929562508	0.6881490567866388	0.5075568893136454	0.8119782289462275	0.8530838756757152	0.8355385836469988	0.7219228937758807	0.6528257824413299	0.8284635316019031	0.9125405710542078	0.5911005253855885	0.9047536609194771	0.8920226761708552	0.9223466731052191	0.9125488631939686	0.7586589409089681	0.5240452889557583	0.7973979284331839	0.6497909610024798	0.420703080895931	0.7924283067434418	0.4736313168392506	0.7718033903729734	0.8666296474044972	0.7742742432161814	0.7983903778764248	0.6618267033173056	0.6618267033173056	0.7369894443648929	0.7346329665133042	0.7485061835155532	0.3260551818775231	0.7574388208630628	0.8348458710959634	0.8724668418357729	0.8649851516434426	0.8628969172415255	0.8320300446536367	0.8247633960273743	0.8321748240470663	0.8567294831050261	0.7368058304410139	0.7881706779139968	0.9242701372808269	0.791054544662035	0.7986646108680294	0.420703080895931	0.4910733291741542
A15-1	0.8467280387958158	0.7421866348308604	0.8148564906218297	0.15539833713787798	0.42673160441052327	0.879657464106441	0.7391075933021933	0.0	0.19591665527678687	0.894827246731419	0.8382534897564747	0.7533110558489865	0.7523509389191609	0.8021691801042514	0.835505229649052	0.6781951759674439	0.7753554304611929	0.8683564384284225	0.8318863811752804	0.8706710089569925	0.9238184991789342	0.6217327309368338	0.8574057022677193	0.7977062137007928	0.8416666078311339	0.8152631871270475	0.47561947560706297	0.8971383678794171	0.8892565315970273	0.8750912747081272	0.8359984096928077	0.8218607011366933	0.6238489706808257	0.900623313205089	0.7962971174771538	0.8563078778885669	0.9060418558492088	0.9039716860725902	0.9249076963854894	0.8741831000088743	0.8296715727413518	0.7625014951657872	0.8714774403869592	0.6443291149984263	0.6342771078956884	0.4560127453862196	0.7247661735696035	0.8344284109887238	0.6909387513027894	0.5027883508163589	0.6537867366033393	0.6537867366033393	0.6242506104713804	0.8761375613998532	0.6884700626165483	0.669124149993924	0.7686359307017251	0.6259048646842229	0.7814858996693906	0.8318863811752804	0.7895574983079597	0.8103095461372456	0.7081147928542378	0.8105020587321708	0.8558988623707868	0.41510346686026584	0.8022902916613474	0.9293319437673373	0.4753240609572695	0.8781674102579721	0.6443291149984263	0.4778881313872732
A15-8	0.8425300988564909	0.7300831224042706	0.793989468340343	0.08908882268617391	0.3914548712502571	0.8775567294825318	0.7290289651496625	0.19591665527678687	0.0	0.8924250224102738	0.8335714100310845	0.7422519230987528	0.7459899422378915	0.7964276199617136	0.8281050779902117	0.660773224362984	0.7682469512744434	0.8645710523609278	0.8256635183732576	0.8682416530753982	0.9225659917314474	0.5987975658131539	0.8544467276083773	0.7916987446270335	0.8380100047377155	0.8102661168726994	0.4507980687342115	0.8956074924451589	0.8874800331588542	0.872826598183534	0.8320720678077764	0.817218663025716	0.6107973531501515	0.8995232456109183	0.7902044054414264	0.8460731143957896	0.9047661728106705	0.9030300697970541	0.92409508587739	0.8718850692364711	0.8254325322815071	0.7541781386743348	0.8690785675436747	0.6253308765988134	0.6223739540010295	0.4124052750734875	0.7135251617581614	0.8283956925853371	0.6733812965930325	0.4532176171494605	0.6358109589258838	0.6358109589258838	0.6039305525428197	0.8739110038407552	0.6739907891136157	0.6527434431487441	0.7607441390173744	0.5949818481995405	0.7765484764325995	0.8256635183732576	0.789894086772707	0.8050370698856704	0.6984166470128402	0.8052404273099879	0.8535742305172188	0.37833522380624074	0.7965558611926556	0.9286127249125768	0.4064899104212046	0.8760138664728883	0.6253308765988134	0.4532860623757082
A17-8	0.7279703214719838	0.8971652151187072	0.9488176070586459	0.8906968234830911	0.895079874140183	0.7695781783594472	0.90881237849421	0.894827246731419	0.8924250224102738	0.0	0.5687694088980396	0.8993747079735813	0.9302987963765688	0.5798512341193355	0.8363575132596542	0.9279920343860099	0.8560319060695412	0.42270425634808645	0.4660414352249995	0.7021826006348733	0.6429133986142941	0.9215359224203948	0.9363147829485943	0.9207605796561757	0.7133775820513171	0.9249229806161592	0.9085088947415154	0.9493326753547154	0.7390126747681507	0.499708676159342	0.6377919238630715	0.7607189435602341	0.7983832266561574	0.7741496185616904	0.9204395231023821	0.869049212606353	0.9526259132059112	0.8910716587526709	0.8786980353465991	0.7090127048946162	0.9285796498377598	0.9132599003231223	0.9406378912129236	0.8941262980606784	0.7691596365167785	0.9070692366442373	0.9062700894327493	0.5091022966406606	0.8881330720518581	0.8415362248124266	0.8953931333364706	0.8953931333364706	0.8943162533681901	0.7122960651119874	0.9003836991994195	0.8975305051572238	0.9144930648091837	0.8042373764507654	0.6710510457409719	0.4660414352249995	0.5127093962817231	0.5933833316324492	0.5576318588851908	0.5937064090980791	0.6568850492647093	0.8942721130091538	0.5800507309062236	0.9620241059777535	0.7103581610281611	0.8074515348527181	0.8941262980606784	0.9086794474696803
A2-2	0.7497503048235937	0.6261626274269184	0.9305491955446807	0.8301683217310792	0.83874264843471	0.7515225893300534	0.8644447093847065	0.8382534897564747	0.8335714100310845	0.5687694088980396	0.0	0.6379830403248807	0.9014421972742461	0.4450015646896608	0.8980850887934186	0.8976441301749062	0.8813087452061261	0.45951217011513384	0.308504233698228	0.6336008810706213	0.688095579774472	0.8867983154590404	0.9111627501046715	0.8854739259340376	0.7203062252461346	0.7587817056337065	0.8638949301173311	0.8762579548378022	0.6854136366430392	0.6458985705640082	0.5376777696413901	0.6905648253186856	0.7832278808617225	0.7875061981544024	0.8386591339807488	0.8192083180306753	0.9362460086853585	0.812238202800745	0.857174825136822	0.49007214877979166	0.8585531145494423	0.8335282545248062	0.9179876954645625	0.836893050489641	0.6974256864291996	0.8612760007337448	0.8598144264130654	0.3708753850634932	0.7687952723200681	0.8676820170658067	0.8393483607673589	0.8393483607673589	0.8372621920632742	0.7745470546116167	0.8488733048213357	0.8434562901827007	0.7898711640595985	0.8875556644324988	0.588104956065517	0.308504233698228	0.6550832422222651	0.467220604896918	0.4077219355709051	0.4677466906924137	0.693569748890404	0.8371764447143035	0.44533175954959636	0.8943868141184206	0.7801015286664503	0.9213498578520712	0.836893050489641	0.8642039948583776
A21-9	0.6226741915337288	0.2978309454292719	0.9184994487111583	0.7339970878941869	0.7544470866278598	0.8792872256811606	0.8094598585644338	0.7533110558489865	0.7422519230987528	0.8993747079735813	0.6379830403248807	0.0	0.8752729097448462	0.8516070087823205	0.8486881065299579	0.8691272444416087	0.8411789578978419	0.8754043602352386	0.8432123012360175	0.9000527347882069	0.9262332309460841	0.8508567937801127	0.8904435401396773	0.8485493394122026	0.879186695907474	0.6414596834911914	0.808371822135883	0.853779479654575	0.9137069390508388	0.9032797921785185	0.8751704962818156	0.8652390777841781	0.7033342732452572	0.839258918735243	0.7833941814484733	0.9106592371624127	0.9262344670217638	0.8703338401051754	0.9405421106147273	0.7196630034782915	0.8177980350881168	0.7684739745507945	0.90064053695041	0.7501324897329749	0.854819022568641	0.8031392355669362	0.8001828718712346	0.845425607234169	0.6208264206603138	0.8157947210061686	0.7558488207633908	0.7558488207633908	0.7509977466875248	0.9040454940903518	0.7771905012960179	0.7652122814579746	0.7052592144492273	0.8521686181080986	0.8881876915007477	0.8432123012360175	0.9056955230347742	0.8572144035766682	0.8422573919850866	0.8573474894116369	0.9158702277468878	0.7507969430158998	0.8516901479878742	0.8706219312235605	0.8082922227040611	0.9055330210249058	0.7501324897329749	0.8089839152230257
A30-10	0.9046544549943402	0.8724911250860251	0.8865532023818604	0.7413918107296326	0.633119557551085	0.825189719067392	0.5385731773065894	0.7523509389191609	0.7459899422378915	0.9302987963765688	0.9014421972742461	0.8752729097448462	0.0	0.8737724824833877	0.9169681406474742	0.8366967434964379	0.7249423502880863	0.9195822020555208	0.9072970787015511	0.8855856890498557	0.9443372467710096	0.6775592279189783	0.7990184954941372	0.7420988345081599	0.8459552877527283	0.7576774194026623	0.5957550900377517	0.83494852205749	0.8811816776422855	0.869961987834821	0.7772764301516141	0.7637667380732377	0.8166542685988758	0.9049826315076721	0.7625588519308623	0.8890031503885677	0.9099627659489482	0.8769738718408224	0.9247003234774537	0.8120159301186517	0.6436438806357592	0.8594037425485013	0.7162665807996744	0.6358824292489568	0.7893737437281121	0.6248520561429187	0.8475369725222486	0.9080753256849428	0.8610999431325127	0.7932771489265823	0.7917697489397212	0.7917697489397212	0.8267802512431633	0.8231397706566557	0.837478236220302	0.6813098347960481	0.8324392201768137	0.7423080500476467	0.8047423499798653	0.9072970787015511	0.848600731969213	0.877002201530145	0.8315583489149123	0.8770798509921339	0.8558022699701406	0.6690697827636048	0.8477024589168067	0.9342271016911268	0.7878604352486498	0.8411782655471296	0.6358824292489568	0.6028012950380658
A34-4	0.8914167706142031	0.8476527011705289	0.9151780643424527	0.7922539375421745	0.8027689789924487	0.7548156970198409	0.8259483716874672	0.8021691801042514	0.7964276199617136	0.5798512341193355	0.4450015646896608	0.8516070087823205	0.8737724824833877	0.0	0.9011818596546604	0.8749258707230787	0.8477773632883027	0.4768081638964478	0.3365641953972437	0.6024792168936304	0.6939345264972749	0.8548722654860824	0.8862975150657969	0.8531610680240252	0.6873897643458656	0.6892774793555979	0.8252358830200902	0.9122241425566167	0.6590355666831729	0.5727981990996108	0.20813278727821505	0.6538659274594864	0.8581860114327927	0.8156162717694081	0.852450593555719	0.8269873017652392	0.8269716138374227	0.8585748637234663	0.7535641347200036	0.6131521218207276	0.870127039190724	0.7777759353702977	0.8950816031091418	0.7901765606700499	0.6590235034046609	0.8218411344748265	0.7543947507601049	0.39528521695446583	0.8311033172963153	0.8382376214385391	0.7933699093622166	0.7933699093622166	0.800953637817179	0.7483882401457703	0.5325854813187607	0.7987102317584329	0.8390872711758552	0.8625765120312664	0.5615736840439804	0.3365641953972437	0.6259421339735303	0.05827890745692395	0.3690653016232553	0.0594333253157628	0.5088139020935021	0.8008484915126157	0.3960130844779144	0.8873924633505568	0.7473643399525592	0.8994058888343919	0.7901765606700499	0.8256364233230219
A36	0.6542448927131702	0.8424123351326577	0.9457761724007353	0.8225799564249099	0.8362652719168344	0.7386550570895926	0.8730426084561774	0.835505229649052	0.8281050779902117	0.8363575132596542	0.8980850887934186	0.8486881065299579	0.9169681406474742	0.9011818596546604	0.0	0.9128696632026589	0.6142486785878664	0.7924260066895271	0.8678859676845344	0.9334866130572527	0.9390880519989737	0.9006812649366825	0.9270823471566825	0.8991415098679195	0.7234959467772438	0.907212451203435	0.8723157624852542	0.9464865605698334	0.9425838998478665	0.8761683880235281	0.9168998478150054	0.9102763344355814	0.7957784649958709	0.9255111002788752	0.8984988923778457	0.9568469268350919	0.9509275646851276	0.9649670804976199	0.9604533710008013	0.9351945041064883	0.91392589448887	0.8833104392884674	0.9338783130312874	0.8333785389399456	0.9033250196346753	0.868819913931271	0.8668445719520846	0.8698219661447795	0.8140537066036126	0.42783917588963427	0.837203046235886	0.837203046235886	0.8339574766265863	0.8772043823613975	0.851476439719576	0.8434663808843357	0.8860358161647707	0.5999953636661354	0.9255786439071875	0.8678859676845344	0.8794336827526574	0.9049231741967285	0.8949424289817277	0.9050119635974424	0.8930848806140322	0.8338231214343184	0.9012373351874552	0.9627103473155234	0.8722625864691131	0.8792143246519971	0.8333785389399456	0.8727246644804662
A37-7	0.9011043901520246	0.8660612035555424	0.6244346018354933	0.6623473349235586	0.7389025841741311	0.9111114922934815	0.8523643583395849	0.6781951759674439	0.660773224362984	0.9279920343860099	0.8976441301749062	0.8691272444416087	0.8366967434964379	0.8749258707230787	0.9128696632026589	0.0	0.8624027470929214	0.9164958740543152	0.903171562355193	0.5790973636073191	0.7249694683738918	0.7683292631944149	0.6212655129099426	0.8731566487708985	0.8919645564769656	0.8802902820107943	0.7286034601452761	0.7175684460306484	0.9164599910342122	0.9086447655761254	0.8893552719905393	0.8830958857966669	0.7776418001715122	0.9189299511486383	0.8726040827808546	0.8831668927595648	0.9263811162237457	0.7449602344306235	0.9384894676161669	0.9081599201184741	0.8865112363330468	0.8601591687677317	0.6546440521005544	0.8261481052354587	0.7783660359799967	0.7097661745485914	0.8478788707848343	0.9040203014981729	0.8534353235535209	0.7298343719117132	0.828438910334836	0.828438910334836	0.8174335898048	0.9092056977239907	0.8374089170551408	0.8322911918799398	0.862308770910803	0.7701810659210906	0.8498942101823844	0.903171562355193	0.8510795079517067	0.8782296686984056	0.8245088730432354	0.8783090300428731	0.8914442889276756	0.7365168140645323	0.8749742913551577	0.8005038155768741	0.7220737836921488	0.670788477778625	0.8261481052354587	0.7292124193232662
A4-5	0.6842429521857659	0.8366408608337742	0.9082679240549084	0.7630568533174915	0.7760959432642761	0.6649468057548066	0.6423957195370351	0.7753554304611929	0.7682469512744434	0.8560319060695412	0.8813087452061261	0.8411789578978419	0.7249423502880863	0.8477773632883027	0.6142486785878664	0.8624027470929214	0.0	0.827558638230904	0.8848737944106031	0.8796484758683824	0.9369654192688067	0.7029275863510039	0.7634278001880126	0.6804000375916464	0.6310907425757583	0.7039832920290718	0.7842289719115482	0.8234581126761222	0.8651534088851619	0.7932265341211183	0.7327152072925732	0.7130198271480903	0.7592296480305631	0.8879608842459435	0.7066385336057412	0.9146678833084142	0.9080242126051165	0.9295737432167842	0.9243983351422254	0.8823401209117692	0.7238447502179599	0.8263794596883515	0.7842247024074711	0.4994551123476479	0.8274250694920364	0.6192907591585474	0.8079172492820321	0.8860716321523994	0.817462006518168	0.5597054442024212	0.752673815880003	0.752673815880003	0.611630437213351	0.746729563716446	0.7916729335740635	0.5717414406210612	0.811531596646066	0.6423998458520829	0.8793743552834147	0.8848737944106031	0.8274778744602358	0.8524496850869165	0.8398932502756388	0.8525614149662865	0.8136934119725465	0.7737235196608144	0.8320415531141755	0.928374173566782	0.8135763279926136	0.8326754665364273	0.4994551123476479	0.5923700319364726
