	A1-2	A1-3	A10-1	A10-2	A12-1	A13-6	A14	A15-1	A15-8	A17-8	A2-2	A21-9	A30-10	A34-4	A36	A37-7	A4-5	A40-2	A43-3	A44-5	A46-6	A6-1	A7-1	A8	A9-1	FL-1	FL-10	FL-12	FL-13	FL-14	FL-15	FL-17	FL-18	FL-20	FL-21	FL-22	FL-23	FL-24	FL-25	FL-27	FL-3	FL-5	FL-6	FL-7	FL-8	FL-9	H115-2	H124-2	H134-2	H146-2	H164-2	H174-4	H176-4	H183-4	H184-4	H194-2	H200-4	H218-2	H220-4	H224-4	H225-4	H226-4	H227-4	H45-1	H49	H50-1	L12-3	L15-1	L23-2	L23-3
A8	0.794351969	0.912441056	0.963944496	0.916835137	0.92103305	0.669089203	0.779679487	0.919364745	0.91851985	0.720346967	0.911108617	0.910632526	0.811359026	0.943833831	0.771102387	0.950104471	0.765213056	0.747822542	0.943833831	0.941060558	0.965902656	0.74899764	0.811344334	0	0.831209962	0.825739872	0.917242573	0.848834499	0.928543626	0.68008643	0.75958731	0.734262638	0.747372922	0.83158417	0.833428909	0.953205401	0.966446098	0.966939634	0.952876287	0.934397663	0.814568299	0.859045293	0.708918162	0.498499591	0.697864009	0.762294809	0.890036641	0.944902373	0.915243089	0.915477955	0.956904756	0.733094805	0.923274606	0.723752601	0.932657896	0.871565695	0.942326424	0.943833831	0.710844463	0.92263458	0.916096584	0.922879922	0.790983525	0.920461389	0.917006176	0.964114618	0.912756875	0.78880455	0.641402886	0.704078539
A9-1	0.861740391	0.902427118	0.970976106	0.92935163	0.933246726	0.718703991	0.943074507	0.776331732	0.930919419	0.66768448	0.740195057	0.900175939	0.839423848	0.74975945	0.712483492	0.959207125	0.939924381	0.643758935	0.74975945	0.845938747	0.864314528	0.951601108	0.962723077	0.831209962	0	0.805349666	0.929731357	0.960121185	0.836142376	0.591151769	0.822123391	0.629578958	0.830245442	0.955679379	0.955334258	0.819464553	0.921325369	0.974808988	0.960917342	0.729647042	0.963313179	0.895967642	0.910308114	0.757346719	0.942872442	0.941192503	0.934345751	0.755933762	0.927864362	0.92808412	0.952622397	0.716575936	0.935310982	0.929621289	0.943836301	0.854153874	0.849753047	0.74975945	0.702142898	0.787362565	0.765101362	0.788182109	0.734797374	0.93271855	0.929511078	0.972578607	0.856115723	0.886390472	0.933619821	0.943915146
FL-1	0.873829569	0.805423986	0.972106211	0.950346499	0.951873988	0.764811253	0.834994437	0.860203449	0.950951987	0.870904565	0.764043925	0.835847605	0.745980583	0.870059867	0.947698307	0.964485022	0.697787558	0.865876026	0.870059867	0.849001888	0.909663173	0.828564106	0.867377414	0.825739872	0.805349666	0	0.950492025	0.734214494	0.84203572	0.865825785	0.747080487	0.647464199	0.891286742	0.787920047	0.888062389	0.79172035	0.901966717	0.973670853	0.926619802	0.568118385	0.846460031	0.924677131	0.781908926	0.80349191	0.819797066	0.856761423	0.964116297	0.871744642	0.882621392	0.882826638	0.972483402	0.557647901	0.952715888	0.845900562	0.811311429	0.956470754	0.891019794	0.870059867	0.868900819	0.8642776	0.856225941	0.864587204	0.877782069	0.951662259	0.895799434	0.971909736	0.90670791	0.941299412	0.801120732	0.822026256
FL-10	0.954421442	0.867225904	0.845660987	0.019875687	0.382431642	0.88258427	0.867348526	0.607067132	0.113010152	0.933042523	0.910865603	0.861139875	0.831094172	0.922223869	0.875649034	0.737976074	0.921097029	0.927282215	0.922223869	0.930085665	0.966831054	0.640862929	0.931994768	0.917242573	0.929731357	0.950492025	0	0.954529452	0.935742556	0.927222028	0.844059269	0.903067679	0.675377799	0.928754574	0.911270725	0.838699544	0.968603575	0.892286053	0.881501209	0.945069393	0.933504896	0.900290313	0.957149479	0.872447765	0.492328611	0.445927645	0.913845229	0.925236611	0.785952354	0.787443982	0.914292746	0.906876196	0.664870018	0.797558222	0.87051597	0.790449985	0.811961369	0.922223869	0.75811492	0.796628782	0.729224625	0.79784614	0.876595254	0.368202416	0.796851133	0.909739041	0.478721116	0.9428852	0.821495511	0.498673637
FL-12	0.916952134	0.888332558	0.673440314	0.954406724	0.955697865	0.87377251	0.848321438	0.960997634	0.954917747	0.960889707	0.901546134	0.886974608	0.861875205	0.978804945	0.95178954	0.78192791	0.795009402	0.959580244	0.978804945	0.748393966	0.616394081	0.739246562	0.410945145	0.848834499	0.960121185	0.734214494	0.954529452	0	0.916667951	0.95956723	0.862025166	0.853461025	0.875918497	0.772207214	0.825904933	0.936683492	0.946362322	0.967537134	0.92175643	0.919575267	0.790033403	0.941329499	0.473079983	0.819570024	0.834553253	0.868326171	0.978227937	0.979035171	0.892885409	0.893056355	0.974519095	0.845410892	0.956412285	0.859618676	0.771108396	0.799998435	0.958959982	0.978804945	0.955040306	0.961968259	0.960058174	0.962042367	0.957714541	0.955518508	0.904715339	0.838477759	0.959128334	0.587265012	0.818942847	0.836434215
FL-13	0.903976654	0.931357251	0.920251997	0.935497189	0.938051409	0.867390351	0.912526052	0.721452574	0.93651527	0.75538092	0.710152487	0.930250677	0.852313384	0.712952706	0.933000046	0.94432557	0.941980617	0.742592642	0.712952706	0.71012865	0.808326846	0.940632365	0.948307953	0.928543626	0.836142376	0.84203572	0.935742556	0.916667951	0	0.74246322	0.768923526	0.838546395	0.935222656	0.837352972	0.940081996	0.547216205	0.754240866	0.901540163	0.776723801	0.784915653	0.926118328	0.923891895	0.933964507	0.926497662	0.944739001	0.943531337	0.953794193	0.735250291	0.863118791	0.863431514	0.965321339	0.837003506	0.9394394	0.935671353	0.887164351	0.936680556	0.719195485	0.712952706	0.760660937	0.732525335	0.71040388	0.733356893	0.781361481	0.937700145	0.865473795	0.928722134	0.88128985	0.919683112	0.938300482	0.945497595
FL-14	0.776181609	0.899042848	0.970556795	0.926814617	0.930986226	0.754109376	0.941438772	0.616045331	0.928495688	0.286183933	0.566498964	0.896630869	0.858236301	0.537439796	0.732043116	0.958373931	0.938658325	0.30966143	0.537439796	0.748042319	0.770790457	0.950423759	0.962028543	0.68008643	0.591151769	0.865825785	0.927222028	0.95956723	0.74246322	0	0.704309079	0.797703496	0.736797521	0.955121424	0.954333407	0.879588047	0.877601921	0.974493713	0.960385433	0.714778609	0.962640659	0.892840457	0.833859616	0.789710878	0.941224905	0.939445162	0.932071641	0.581450109	0.925217407	0.925453563	0.951201092	0.726993531	0.933190346	0.927103951	0.942244665	0.873598004	0.754915545	0.537439796	0.347210383	0.637830329	0.593511301	0.639435296	0.519755916	0.930421522	0.926985709	0.972204618	0.851595759	0.784745756	0.931384942	0.942328038
FL-15	0.967583444	0.939172317	0.935235325	0.843224478	0.851791435	0.658274606	0.775621776	0.547911618	0.846671641	0.72247105	0.656913147	0.937925925	0.63940075	0.605057085	0.941003119	0.909116492	0.78614768	0.704493205	0.605057085	0.752572238	0.78871532	0.676535525	0.809036332	0.75958731	0.822123391	0.747080487	0.844059269	0.862025166	0.768923526	0.704309079	0	0.547762946	0.894547096	0.836516409	0.831070348	0.729661625	0.873845773	0.94117383	0.93780131	0.762420616	0.812338972	0.929042137	0.868745464	0.700790799	0.604868665	0.677343444	0.939973434	0.640007608	0.913541943	0.913786319	0.956195319	0.604475239	0.613626666	0.717343418	0.931588405	0.920607813	0.706914086	0.605057085	0.672149824	0.26802262	0.522571151	0.271797262	0.531703669	0.850629236	0.915375749	0.882475902	0.780962451	0.959021502	0.63297104	0.613691914
FL-17	0.965356223	0.930827737	0.961491044	0.902508244	0.908227365	0.655802772	0.744510781	0.744269158	0.904815358	0.810278834	0.764792831	0.929211375	0.63544404	0.737589886	0.933185571	0.945279972	0.764846903	0.797831086	0.737589886	0.827005403	0.860814561	0.700756548	0.792230361	0.734262638	0.629578958	0.647464199	0.903067679	0.853461025	0.838546395	0.797703496	0.547762946	0	0.936058502	0.859480589	0.813621863	0.803363828	0.911806075	0.964990771	0.96234156	0.747824774	0.796133944	0.920581642	0.861018628	0.657366188	0.645657489	0.706596799	0.931498948	0.744371196	0.900313181	0.90063792	0.950845168	0.6871347	0.911241001	0.666128139	0.923562125	0.952462293	0.831453685	0.737589886	0.812144832	0.757581023	0.730637312	0.758566979	0.831588177	0.907454357	0.902743206	0.961806838	0.828384751	0.95627107	0.565407327	0.637392932
FL-18	0.740462454	0.751396822	0.8856165	0.673105244	0.733477576	0.809356685	0.922247792	0.77825383	0.682441669	0.753969001	0.808588793	0.74456449	0.875826289	0.957594809	0.728492397	0.832200282	0.841392846	0.688322575	0.957594809	0.949047281	0.975534142	0.795119486	0.950068831	0.747372922	0.830245442	0.891286742	0.675377799	0.875918497	0.935222656	0.736797521	0.894547096	0.936058502	0	0.881159801	0.939733829	0.881660451	0.973099174	0.912408435	0.878056721	0.866689756	0.950887754	0.886096715	0.798153728	0.763465422	0.749814087	0.740732847	0.955220448	0.958506455	0.899946737	0.900273864	0.950701041	0.761893891	0.834823509	0.902557962	0.923346858	0.744748548	0.865786796	0.957594809	0.607463965	0.874801719	0.845401788	0.875264138	0.712963796	0.730861637	0.90239444	0.927820083	0.748471507	0.815492909	0.908466143	0.755390131
FL-20	0.906863671	0.876667051	0.913836626	0.928580829	0.930413214	0.73774602	0.866773812	0.92852846	0.929304874	0.956455831	0.890578075	0.875327714	0.840379424	0.971622422	0.957491719	0.892256603	0.793491207	0.955134515	0.971622422	0.874439566	0.930208739	0.827629682	0.830172815	0.83158417	0.955679379	0.787920047	0.928754574	0.772207214	0.837352972	0.955121424	0.836516409	0.859480589	0.881159801	0	0.665713844	0.857846635	0.897915285	0.949795544	0.85971279	0.899933876	0.643187997	0.821836606	0.783898461	0.841770894	0.820271875	0.851005107	0.894252391	0.971897782	0.903622343	0.90375652	0.977387819	0.847151173	0.930338048	0.878210872	0.917522548	0.890155626	0.932290344	0.971622422	0.927034156	0.92920105	0.92693975	0.929328968	0.902564055	0.93015807	0.916907631	0.915152916	0.925372976	0.901992772	0.843060303	0.822119853
FL-21	0.953604354	0.936261131	0.898373236	0.910802198	0.915613634	0.872931588	0.770770239	0.932964415	0.912737358	0.956695477	0.948390926	0.934891237	0.866943149	0.960903466	0.938268477	0.854083957	0.839139647	0.954357112	0.960903466	0.864720201	0.894819613	0.808694552	0.754114902	0.833428909	0.955334258	0.888062389	0.911270725	0.825904933	0.940081996	0.954333407	0.831070348	0.813621863	0.939733829	0.665713844	0	0.949916773	0.96450134	0.956175878	0.952936419	0.962066915	0.308684602	0.94501428	0.834804537	0.776348876	0.769854233	0.762207026	0.958893948	0.961679702	0.908968245	0.909239119	0.954312583	0.884090029	0.918168442	0.705948639	0.928756056	0.873819903	0.937792659	0.960903466	0.947979105	0.935781376	0.930140239	0.93599239	0.952597388	0.914960491	0.910998923	0.902242753	0.927245252	0.884212294	0.727018927	0.774572317
FL-22	0.929275196	0.962562221	0.860695604	0.838164664	0.867845016	0.849057935	0.929498941	0.758439516	0.828173197	0.8841584	0.868648418	0.96209377	0.795246051	0.867361598	0.963263861	0.871663399	0.963659371	0.879633263	0.867361598	0.826055368	0.896714894	0.859027322	0.955796466	0.953205401	0.819464553	0.79172035	0.838699544	0.936683492	0.547216205	0.879588047	0.729661625	0.803363828	0.881660451	0.857846635	0.949916773	0	0.814463221	0.86644734	0.740342389	0.796311239	0.936897286	0.954271553	0.950918085	0.955915173	0.860369328	0.850878321	0.963414289	0.869116598	0.894382603	0.894568884	0.971986464	0.650193463	0.779574183	0.949452337	0.909296886	0.882284578	0.760125799	0.867361598	0.801781302	0.69107306	0.800531582	0.689802329	0.762536179	0.86720501	0.895790221	0.864247783	0.784448349	0.941842128	0.951089999	0.860407637
FL-23	0.782691033	0.976348743	0.796643599	0.968545112	0.969165094	0.926353614	0.953038182	0.862816429	0.968789189	0.880830101	0.870178207	0.97616264	0.910268469	0.869469943	0.976630718	0.967274412	0.97344442	0.877633481	0.869469943	0.839931473	0.890139007	0.96564224	0.967456563	0.966446098	0.921325369	0.901966717	0.968603575	0.946362322	0.754240866	0.877601921	0.873845773	0.911806075	0.973099174	0.897915285	0.96450134	0.814463221	0	0.784539207	0.824310826	0.888855206	0.954140976	0.9702867	0.961852475	0.969743436	0.969435483	0.969087045	0.977018664	0.877500781	0.92519784	0.925278692	0.981885498	0.900031311	0.96951289	0.966982588	0.934262222	0.969411701	0.72394137	0.869469943	0.879042974	0.865557454	0.860189422	0.865767867	0.884961771	0.969078314	0.935195256	0.922048747	0.939346573	0.957927185	0.967656651	0.969658061
FL-24	0.887109725	0.969694388	0.845733868	0.892010141	0.864287736	0.945341647	0.961415011	0.906935479	0.893159502	0.975247801	0.972740615	0.969388152	0.905734641	0.980976753	0.970155805	0.909554188	0.967543198	0.97450111	0.980976753	0.961647989	0.9770353	0.909416497	0.960593568	0.966939634	0.974808988	0.973670853	0.892286053	0.967537134	0.901540163	0.974493713	0.94117383	0.964990771	0.912408435	0.949795544	0.956175878	0.86644734	0.784539207	0	0.542737544	0.977101187	0.960976066	0.971826792	0.968559361	0.961837877	0.900789396	0.899269815	0.980513228	0.98116242	0.958983765	0.959038846	0.977049935	0.952707358	0.929210846	0.957338544	0.963545815	0.895938571	0.78977908	0.980976753	0.919810252	0.937621879	0.928413416	0.937735196	0.945142484	0.863751126	0.959401136	0.917036812	0.902679929	0.96497732	0.958457219	0.901753966
FL-25	0.8562512	0.937806346	0.836076912	0.881167193	0.850660423	0.931489357	0.935259337	0.89899285	0.882557464	0.961655769	0.944728846	0.937101122	0.88038373	0.979303986	0.952948289	0.902914733	0.94278037	0.960397925	0.979303986	0.920629068	0.975534633	0.893248065	0.957993671	0.952876287	0.960917342	0.926619802	0.881501209	0.92175643	0.776723801	0.960385433	0.93780131	0.96234156	0.878056721	0.85971279	0.952936419	0.740342389	0.824310826	0.542737544	0	0.954354062	0.940719733	0.910433977	0.935913975	0.944896204	0.891903963	0.890097524	0.978754181	0.979523553	0.908042507	0.908183751	0.975099069	0.911850322	0.923871153	0.953338488	0.919558746	0.876756603	0.773484546	0.979303986	0.901433343	0.933637825	0.922297575	0.933767972	0.934058536	0.85001038	0.909111408	0.913118735	0.893960279	0.936233179	0.954673496	0.89304805
FL-27	0.845984156	0.695035747	0.973977348	0.944837618	0.947241319	0.794456499	0.953575844	0.708597863	0.945798096	0.730537856	0.506135807	0.750669486	0.855226596	0.671914504	0.925307376	0.964897221	0.812946336	0.714937343	0.671914504	0.79149857	0.809484812	0.959407872	0.967532401	0.934397663	0.729647042	0.568118385	0.945069393	0.919575267	0.784915653	0.714778609	0.762420616	0.747824774	0.866689756	0.899933876	0.962066915	0.796311239	0.888855206	0.977101187	0.954354062	0	0.967980976	0.894429348	0.880137514	0.93357603	0.953441543	0.952331747	0.948349201	0.698759482	0.943935068	0.944067906	0.961664612	0.707133815	0.948539188	0.945002154	0.954083753	0.954841715	0.796227598	0.671914504	0.753751419	0.721320111	0.695799234	0.722271366	0.776604209	0.946911936	0.944934875	0.975272965	0.884583532	0.957986577	0.94747465	0.954136464
FL-3	0.960135836	0.951357693	0.911527447	0.933242108	0.935974263	0.853357235	0.592479284	0.946483752	0.934332018	0.964236537	0.958755504	0.950563911	0.7051234	0.969852774	0.952535553	0.879753767	0.820005322	0.962656525	0.969852774	0.860088539	0.911708413	0.777087212	0.747440232	0.814568299	0.963313179	0.846460031	0.933504896	0.790033403	0.926118328	0.962640659	0.812338972	0.796133944	0.950887754	0.643187997	0.308684602	0.936897286	0.954140976	0.960976066	0.940719733	0.967980976	0	0.956626894	0.685211834	0.763130777	0.757593347	0.808327104	0.968671827	0.970316424	0.891660956	0.891910274	0.964270906	0.875551301	0.937455781	0.785630078	0.91080701	0.89348323	0.947338968	0.969852774	0.956505681	0.948294415	0.944699	0.948431296	0.959781772	0.935598977	0.893538276	0.914272641	0.942900444	0.800732413	0.722544093	0.761609977
FL-5	0.925082906	0.817490267	0.966944758	0.899523996	0.90722319	0.760860455	0.925176801	0.908396747	0.902665648	0.900146986	0.839389139	0.811281005	0.945700608	0.9145145	0.869517355	0.950768265	0.904477606	0.892915063	0.9145145	0.939361285	0.95693623	0.939245356	0.95579967	0.859045293	0.895967642	0.924677131	0.900290313	0.941329499	0.923891895	0.892840457	0.929042137	0.920581642	0.886096715	0.821836606	0.94501428	0.954271553	0.9702867	0.971826792	0.910433977	0.894429348	0.956626894	0	0.944423504	0.892824123	0.924827311	0.921891181	0.657040861	0.916965454	0.896488799	0.896940703	0.936878475	0.93725535	0.91116316	0.900068544	0.926487411	0.939098595	0.940988522	0.9145145	0.910552491	0.913470042	0.903164309	0.913844383	0.920402196	0.906199771	0.899846198	0.969007522	0.897642094	0.944682827	0.907942321	0.92662243
FL-6	0.75266228	0.833924308	0.686860914	0.957040504	0.958188662	0.824071117	0.74956756	0.962941211	0.957494486	0.85007932	0.894003041	0.859605074	0.788289498	0.979955955	0.88434335	0.792888342	0.743352334	0.867504106	0.979955955	0.779691369	0.635908039	0.849676008	0.445409677	0.708918162	0.910308114	0.781908926	0.957149479	0.473079983	0.933964507	0.833859616	0.868745464	0.861018628	0.798153728	0.783898461	0.834804537	0.950918085	0.961852475	0.968559361	0.935913975	0.880137514	0.685211834	0.944423504	0	0.756349674	0.844123293	0.875841905	0.979440677	0.980161976	0.931596286	0.93169576	0.975858179	0.813776974	0.958825584	0.868402074	0.939760669	0.750662723	0.960639661	0.979955955	0.839323071	0.963818598	0.962094066	0.963885676	0.878092145	0.958028942	0.932349486	0.844518326	0.961257593	0.302487658	0.830341798	0.845794044
FL-7	0.829124197	0.868104649	0.957431292	0.871477297	0.881234355	0.624350104	0.670880139	0.912946115	0.875456847	0.804978464	0.901609539	0.863957498	0.780796173	0.946427236	0.580138694	0.936702024	0.686149553	0.78986751	0.946427236	0.941813871	0.972189365	0.644500566	0.75784463	0.498499591	0.757346719	0.80349191	0.872447765	0.819570024	0.926497662	0.789710878	0.700790799	0.657366188	0.763465422	0.841770894	0.776348876	0.955915173	0.969743436	0.961837877	0.944896204	0.93357603	0.763130777	0.892824123	0.756349674	0	0.53242309	0.637166303	0.94258089	0.947874089	0.867634967	0.868206897	0.938780805	0.757311776	0.886233221	0.528192462	0.905713467	0.808192195	0.943346413	0.946427236	0.807636275	0.917637817	0.908122687	0.917984588	0.830214438	0.879936529	0.871885322	0.958023395	0.903049061	0.854988562	0.381785891	0.547140975
FL-8	0.960339068	0.907451774	0.865669636	0.486935235	0.620408163	0.720423503	0.65692855	0.712653323	0.508848862	0.945080412	0.930999275	0.904535329	0.651405587	0.944327199	0.911624419	0.789626088	0.71203685	0.941264166	0.944327199	0.940606165	0.971633909	0.313360732	0.752054266	0.697864009	0.942872442	0.819797066	0.492328611	0.834553253	0.944739001	0.941224905	0.604868665	0.645657489	0.749814087	0.820271875	0.769854233	0.860369328	0.969435483	0.900789396	0.891903963	0.953441543	0.757593347	0.924827311	0.844123293	0.53242309	0	0.182662099	0.940161667	0.945888055	0.861215258	0.861843878	0.936584532	0.815658221	0.775041862	0.498984517	0.902500911	0.825150654	0.842102209	0.944327199	0.802735952	0.843222623	0.800561291	0.843947062	0.895449663	0.615079651	0.865880629	0.917103907	0.647307185	0.950105135	0.342590979	0.053628375
FL-9	0.959536576	0.902960909	0.856676731	0.439564974	0.596666882	0.767885892	0.640029754	0.700353786	0.439731419	0.943529585	0.928533395	0.899749647	0.705235238	0.941800693	0.907538316	0.766559574	0.773175792	0.939486835	0.941800693	0.939208826	0.970992297	0.367848382	0.804038757	0.762294809	0.941192503	0.856761423	0.445927645	0.868326171	0.943531337	0.939445162	0.677343444	0.706596799	0.740732847	0.851005107	0.762207026	0.850878321	0.969087045	0.899269815	0.890097524	0.952331747	0.808327104	0.921891181	0.875841905	0.637166303	0.182662099	0	0.937232998	0.943504263	0.853337919	0.854039744	0.933960795	0.811890587	0.763147922	0.462107914	0.898677725	0.812064871	0.838139049	0.941800693	0.79701612	0.83753691	0.792198655	0.838314717	0.892951311	0.590645704	0.858538006	0.915729729	0.608187635	0.949122709	0.497742213	0.158987129
