sample-id	shannon_entropy
A10-1	1.999224375
A10-2	1.961841594
A11-2	3.659849
A12-1	0.817268501
A13-6	2.533023494
A14	0.529360865
A15-1	0.48217919
A15-8	0.382542669
A21-9	0.242292189
A26-3	2.265789469
A30-10	2.169317379
A34-4	0.40217919
A35-2	3.268117942
A36	2.846053183
A38-1	1.035565796
A39-2	2.126652727
A4-5	1.337869328
A40-2	0.787018995
A42-3	1.69015756
A45-1	1.47293504
A49-8	1.573762949
A6-1	1.823141323
A7-1	1.05685684
A8	1.524372821
FL-1	1.970809214
FL-10	0.955565796
FL-13	2.839458
FL-16	1.051046959
FL-17	1.896773117
FL-20	3.070893635
FL-21	0.584238812
FL-22	3.941350863
FL-23	3.847292483
FL-24	4.277405811
FL-25	4.91856294
FL-26	3.66514225
FL-27	2.557222614
FL-3	0.946144709
FL-6	1.799670668
FL-7	0.141440543
FL-8	1.531314689
FL-9	1.848887372
H102-3	3.399458
H105-1	1.677673358
H107-2	2.358439073
H113-1	2.407920023
H115-2	2.321510189
H118-1	1.579670255
H124-1	0.759556365
H124-2	0.282292189
H129-1	1.775640712
H134-2	0.667073001
H141-2	0.468995594
H146-2	0.881290899
H149-2	2.290285996
H164-2	0.634309555
H174-4	2.111613497
H176-4	0.995565796
H177-2	1.941844689
H181-2	1.356216939
H182-4	1.482110142
H183-4	0.995378439
H191-4	0.989747029
H193-2	1.910662477
H194-2	1.856319435
H207-4	1.928560204
H210-4	3.399919752
H211-4	3.057441718
H212-4	1.886784079
H213-4	3.829158053
H218-2	0
H220-4	1.898571553
H225-4	3.546323864
H226-4	0.995378439
H227-4	2.79572713
H230-6	3.047585439
H37-1	1.584381458
H45-1	0
H49	0.242292189
H50-1	2.136705596
L12-3	0.48217919
L18-2	2.207351814
L23-1	2.303928623
L23-3	1.07666789